Sl. No.,State/UT,Deaths due to Forces of Nature,Deaths due to Forces of Nature,Deaths due to Forces of Nature,Deaths due to Forces of Nature,Killed in Action/Operation/Encounters/etc.,Killed in Action/Operation/Encounters/etc.,Killed in Action/Operation/Encounters/etc.,Killed in Action/Operation/Encounters/etc.,Fratricide,Fratricide,Fratricide,Fratricide,Deaths due to Road/Railway Accidents,Deaths due to Road/Railway Accidents,Deaths due to Road/Railway Accidents,Deaths due to Road/Railway Accidents,Deaths Due to Other Causes,Deaths Due to Other Causes,Deaths Due to Other Causes,Deaths Due to Other Causes,Total,Total,Total,Total
,,Male,Female,Transgender,Total,Male,Female,Transgender,Total,Male,Female,Transgender,Total,Male,Female,Transgender,Total,Male,Female,Transgender,Total,Male,Female,Transgender,Total
,STATES,,,,,,,,,,,,,,,,,,,,,,,,
1,ANDHRA PRADESH,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,2,3,0,0,3
2,ARUNACHAL PRADESH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,7,0,0,7
3,ASSAM,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,0,0,3
4,BIHAR,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,2,0,0,2
5,CHHATTISGARH,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,6,0,0,6,14,0,0,14
6,GOA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,GUJARAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1
8,HARYANA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,HIMACHAL PRADESH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,JAMMU & KASHMIR,1,0,0,1,6,0,0,6,0,0,0,0,3,0,0,3,16,0,0,16,26,0,0,26
11,JHARKHAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,KARNATAKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,KERALA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,2
14,MADHYA PRADESH,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,3,0,0,3,5,1,0,6
15,MAHARASHTRA,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,3,0,0,3
16,MANIPUR,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,6,0,0,6,8,0,0,8
17,MEGHALAYA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,MIZORAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,NAGALAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1
20,ODISHA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,PUNJAB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1
22,RAJASTHAN,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,10,0,0,10,15,0,0,15
23,SIKKIM,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,2
24,TAMIL NADU,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,1,1,0,2
25,TELANGANA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,TRIPURA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,UTTAR PRADESH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,UTTARAKHAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,WEST BENGAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,TOTAL (STATES),3,0,0,3,14,0,0,14,0,0,0,0,18,2,0,20,59,0,0,59,94,2,0,96
,UNION TERRITORIES,,,,,,,,,,,,,,,,,,,,,,,,
30,A & N ISLANDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,CHANDIGARH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,D & N HAVELI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,DAMAN & DIU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,DELHI (UT),1,0,0,1,0,0,0,0,0,0,0,0,4,0,0,4,3,0,0,3,8,0,0,8
35,LAKSHADWEEP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,PUDUCHERRY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,TOTAL (UTs),1,0,0,1,0,0,0,0,0,0,0,0,4,0,0,4,3,0,0,3,8,0,0,8
,TOTAL (ALL INDIA),4,0,0,4,14,0,0,14,0,0,0,0,22,2,0,24,62,0,0,62,102,2,0,104
