Sl. No.,State/UT,Deaths due to Forces of Nature,Deaths due to Forces of Nature,Deaths due to Forces of Nature,Deaths due to Other Causes,Deaths due to Other Causes,Deaths due to Other Causes,Total Accidental Deaths,Total Accidental Deaths,Total Accidental Deaths
,,2018,2019,% Variation,2018,2019,% Variation,2018,2019,% Variation
,STATES,,,,,,,,,
1,ANDHRA PRADESH,210,257,22.4,16599,17681,6.5,16809,17938,6.7
2,ARUNACHAL PRADESH,35,7,-80.0,304,268,-11.8,339,275,-18.9
3,ASSAM,225,136,-39.6,5031,5300,5.3,5256,5436,3.4
4,BIHAR,1082,1521,40.6,11635,13690,17.7,12717,15211,19.6
5,CHHATTISGARH,238,254,6.7,18601,19535,5.0,18839,19789,5.0
6,GOA,0,3,-,738,792,7.3,738,795,7.7
7,GUJARAT,61,140,129.5,24653,23770,-3.6,24714,23910,-3.3
8,HARYANA,182,134,-26.4,15376,15505,0.8,15558,15639,0.5
9,HIMACHAL PRADESH,61,39,-36.1,2806,3217,14.6,2867,3256,13.6
10,JAMMU & KASHMIR,131,63,-51.9,1388,1388,0.0,1519,1451,-4.5
11,JHARKHAND,395,556,40.8,6199,7147,15.3,6594,7703,16.8
12,KARNATAKA,164,169,3.0,24829,25282,1.8,24993,25451,1.8
13,KERALA,295,140,-52.5,12016,13623,13.4,12311,13763,11.8
14,MADHYA PRADESH,472,627,32.8,41682,41804,0.3,42154,42431,0.7
15,MAHARASHTRA,383,573,49.6,68451,69756,1.9,68834,70329,2.2
16,MANIPUR,15,5,-66.7,285,304,6.7,300,309,3.0
17,MEGHALAYA,19,12,-36.8,440,464,5.5,459,476,3.7
18,MIZORAM,6,4,-33.3,181,167,-7.7,187,171,-8.6
19,NAGALAND,2,0,-100.0,84,63,-25.0,86,63,-26.7
20,ODISHA,1196,1466,22.6,17052,14993,-12.1,18248,16459,-9.8
21,PUNJAB,126,240,90.5,10202,10808,5.9,10328,11048,7.0
22,RAJASTHAN,114,210,84.2,28261,28487,0.8,28375,28697,1.1
23,SIKKIM,4,6,50.0,275,289,5.1,279,295,5.7
24,TAMIL NADU,179,70,-60.9,24433,22334,-8.6,24612,22404,-9.0
25,TELANGANA,175,252,44.0,10847,11468,5.7,11022,11720,6.3
26,TRIPURA,25,20,-20.0,686,687,0.1,711,707,-0.6
27,UTTAR PRADESH,752,792,5.3,36868,39804,8.0,37620,40596,7.9
28,UTTARAKHAND,69,68,-1.4,1855,1818,-2.0,1924,1886,-2.0
29,WEST BENGAL,275,376,36.7,16109,15609,-3.1,16384,15985,-2.4
,TOTAL (STATES),6891,8140,18.1,397886,406053,2.1,404777,414193,2.3
,UNION TERRITORIES,,,,,,,,,
30,A & N ISLANDS,0,2,-,183,196,7.1,183,198,8.2
31,CHANDIGARH,0,2,-,242,412,70.2,242,414,71.1
32,D & N HAVELI,0,1,-,163,123,-24.5,163,124,-23.9
33,DAMAN & DIU,0,0,-,137,148,8.0,137,148,8.0
34,DELHI (UT),0,0,-,5103,4919,-3.6,5103,4919,-3.6
35,LAKSHADWEEP,0,0,-,6,5,-16.7,6,5,-16.7
36,PUDUCHERRY,0,0,-,1213,1103,-9.1,1213,1103,-9.1
,TOTAL (UTs),0,5,-,7047,6906,-2.0,7047,6911,-1.9
,TOTAL (ALL INDIA),6891,8145,18.2,404933,412959,2.0,411824,421104,2.3
1,AGRA,13,2,-84.6,327,459,40.4,340,461,35.6
2,AHMEDABAD,10,5,-50.0,1975,1831,-7.3,1985,1836,-7.5
3,ALLAHABAD,0,0,-,411,321,-21.9,411,321,-21.9
4,AMRITSAR,37,66,78.4,309,334,8.1,346,400,15.6
5,ASANSOL,0,0,-,663,979,47.7,663,979,47.7
6,AURANGABAD,0,0,-,1240,1036,-16.5,1240,1036,-16.5
7,BENGALURU,0,0,-,3643,4016,10.2,3643,4016,10.2
8,BHOPAL,2,56,2700.0,740,684,-7.6,742,740,-0.3
9,CHANDIGARH (CITY),0,2,-,242,412,70.2,242,414,71.1
10,CHENNAI,0,3,-,1922,1942,1.0,1922,1945,1.2
11,COIMBATORE,0,0,-,493,524,6.3,493,524,6.3
12,DELHI (CITY),0,0,-,4374,4516,3.2,4374,4516,3.2
13,DHANBAD,21,10,-52.4,168,158,-6.0,189,168,-11.1
14,DURG BHILAINAGAR,0,4,-,660,751,13.8,660,755,14.4
15,FARIDABAD,20,17,-15.0,1169,1158,-0.9,1189,1175,-1.2
16,GHAZIABAD,5,5,0.0,573,483,-15.7,578,488,-15.6
17,GWALIOR,1,2,100.0,300,312,4.0,301,314,4.3
18,HYDERABAD,2,5,150.0,950,785,-17.4,952,790,-17.0
19,INDORE,1,0,-100.0,1152,1142,-0.9,1153,1142,-1.0
20,JABALPUR,0,6,-,755,482,-36.2,755,488,-35.4
21,JAIPUR,2,0,-100.0,2830,2628,-7.1,2832,2628,-7.2
22,JAMSHEDPUR,7,10,42.9,368,381,3.5,375,391,4.3
23,JODHPUR,0,0,-,1062,1113,4.8,1062,1113,4.8
24,KANNUR,2,2,0.0,195,224,14.9,197,226,14.7
25,KANPUR,37,27,-27.0,1687,1493,-11.5,1724,1520,-11.8
26,KOCHI,0,0,-,514,595,15.8,514,595,15.8
27,KOLKATA,0,0,-,734,322,-56.1,734,322,-56.1
28,KOLLAM,1,0,-100.0,569,581,2.1,570,581,1.9
29,KOTA,0,3,-,489,606,23.9,489,609,24.5
30,KOZHIKODE,12,4,-66.7,456,541,18.6,468,545,16.5
31,LUCKNOW,2,7,250.0,710,568,-20.0,712,575,-19.2
32,LUDHIANA,34,46,35.3,882,1016,15.2,916,1062,15.9
33,MADURAI,0,0,-,406,532,31.0,406,532,31.0
34,MALAPPURAM,2,9,350.0,268,325,21.3,270,334,23.7
35,MEERUT,0,0,-,238,212,-10.9,238,212,-10.9
36,MUMBAI,3,34,1033.3,9414,9212,-2.1,9417,9246,-1.8
37,NAGPUR,0,1,-,2394,2112,-11.8,2394,2113,-11.7
38,NASIK,0,0,-,1155,1544,33.7,1155,1544,33.7
39,PATNA,3,9,200.0,470,216,-54.0,473,225,-52.4
40,PUNE,0,17,-,4000,3932,-1.7,4000,3949,-1.3
41,RAIPUR,0,0,-,1060,1001,-5.6,1060,1001,-5.6
42,RAJKOT,0,1,-,1387,1379,-0.6,1387,1380,-0.5
43,RANCHI,61,19,-68.9,452,348,-23.0,513,367,-28.5
44,SRINAGAR,0,0,-,162,119,-26.5,162,119,-26.5
45,SURAT,0,0,-,2148,2353,9.5,2148,2353,9.5
46,THIRUVANANTHAPURAM,0,0,-,636,655,3.0,636,655,3.0
47,THRISSUR,33,6,-81.8,660,764,15.8,693,770,11.1
48,TIRUCHIRAPPALLI,0,0,-,125,250,100.0,125,250,100.0
49,VADODARA,1,6,500.0,809,788,-2.6,810,794,-2.0
50,VARANASI,93,9,-90.3,201,344,71.1,294,353,20.1
51,VASAI VIRAR,0,0,-,1132,1124,-0.7,1132,1124,-0.7
52,VIJAYAWADA,39,20,-48.7,492,514,4.5,531,534,0.6
53,VISHAKHAPATNAM,4,5,25.0,726,869,19.7,730,874,19.7
,TOTAL (CITIES),448,418,-6.7,60897,60986,0.1,61345,61404,0.1
