Sl. No.,City,Cases,Married,Un-Married,Total
37,AGRA,0,0,0,0
38,AHMEDABAD,0,0,0,0
39,ALLAHABAD,0,0,0,0
40,AMRITSAR,0,0,0,0
41,ASANSOL,0,0,0,0
42,AURANGABAD,0,0,0,0
43,BENGALURU,0,0,0,0
44,BHOPAL,0,0,0,0
45,CHANDIGARH (CITY),0,0,0,0
46,CHENNAI,8,18,1,19
47,COIMBATORE,0,0,0,0
48,DELHI (CITY),0,0,0,0
49,DHANBAD,0,0,0,0
50,DURG BHILAINAGAR,0,0,0,0
51,FARIDABAD,0,0,0,0
52,GHAZIABAD,0,0,0,0
53,GWALIOR,0,0,0,0
54,HYDERABAD,0,0,0,0
55,INDORE,0,0,0,0
56,JABALPUR,0,0,0,0
57,JAIPUR,0,0,0,0
58,JAMSHEDPUR,0,0,0,0
59,JODHPUR,0,0,0,0
60,KANNUR,1,1,1,2
61,KANPUR,0,0,0,0
62,KOCHI,0,0,0,0
63,KOLKATA,0,0,0,0
64,KOLLAM,0,0,0,0
65,KOTA,0,0,0,0
66,KOZHIKODE,1,2,0,2
67,LUCKNOW,0,0,0,0
68,LUDHIANA,0,0,0,0
69,MADURAI,0,0,0,0
70,MALAPPURAM,0,0,0,0
71,MEERUT,0,0,0,0
72,MUMBAI,0,0,0,0
73,NAGPUR,0,0,0,0
74,NASIK,0,0,0,0
75,PATNA,0,0,0,0
76,PUNE,0,0,0,0
77,RAIPUR,0,0,0,0
78,RAJKOT,0,0,0,0
79,RANCHI,0,0,0,0
80,SRINAGAR,0,0,0,0
81,SURAT,0,0,0,0
82,THIRUVANANTHAPURAM,0,0,0,0
83,THRISSUR,0,0,0,0
84,TIRUCHIRAPPALLI,0,0,0,0
85,VADODARA,0,0,0,0
86,VARANASI,0,0,0,0
87,VASAI VIRAR,0,0,0,0
88,VIJAYAWADA,0,0,0,0
89,VISHAKHAPATNAM,0,0,0,0
,TOTAL (CITIES),10,21,2,23
