Sl. No.,State/UT,Cases,Married,Un-Married,Total
,STATES,,,,
1,ANDHRA PRADESH,14,25,11,36
2,ARUNACHAL PRADESH,0,0,0,0
3,ASSAM,5,11,2,13
4,BIHAR,0,0,0,0
5,CHHATTISGARH,0,0,0,0
6,GOA,0,0,0,0
7,GUJARAT,0,0,0,0
8,HARYANA,0,0,0,0
9,HIMACHAL PRADESH,0,0,0,0
10,JAMMU & KASHMIR,0,0,0,0
11,JHARKHAND,0,0,0,0
12,KARNATAKA,3,5,2,7
13,KERALA,11,20,4,24
14,MADHYA PRADESH,1,1,1,2
15,MAHARASHTRA,3,6,1,7
16,MANIPUR,0,0,0,0
17,MEGHALAYA,0,0,0,0
18,MIZORAM,0,0,0,0
19,NAGALAND,0,0,0,0
20,ODISHA,0,0,0,0
21,PUNJAB,9,12,6,18
22,RAJASTHAN,7,8,14,22
23,SIKKIM,0,0,0,0
24,TAMIL NADU,16,33,10,43
25,TELANGANA,2,4,2,6
26,TRIPURA,0,0,0,0
27,UTTAR PRADESH,0,0,0,0
28,UTTARAKHAND,1,1,1,2
29,WEST BENGAL,0,0,0,0
,TOTAL (STATES),72,126,54,180
,UNION TERRITORIES,,,,
30,A & N  ISLANDS,0,0,0,0
31,CHANDIGARH,0,0,0,0
32,D & N  HAVELI,0,0,0,0
33,DAMAN  &  DIU,0,0,0,0
34,DELHI (UT),0,0,0,0
35,LAKSHADWEEP,0,0,0,0
36,PUDUCHERRY,0,0,0,0
,TOTAL (UTs),0,0,0,0
,TOTAL (ALL INDIA),72,126,54,180
