Sl. No.,State/UT,Number of Suicides,Number of Suicides,Percentage Variation in 2019 over 2018
,,2018,2019,
,STATES,,,
1,ANDHRA PRADESH,5319,6465,21.5
2,ARUNACHAL PRADESH,132,112,-15.2
3,ASSAM,2379,2370,-0.4
4,BIHAR,443,641,44.7
5,CHHATTISGARH,7046,7629,8.3
6,GOA,256,259,1.2
7,GUJARAT,7793,7655,-1.8
8,HARYANA,3547,4191,18.2
9,HIMACHAL PRADESH,740,584,-21.1
10,JAMMU & KASHMIR,330,284,-13.9
11,JHARKHAND,1317,1646,25.0
12,KARNATAKA,11561,11288,-2.4
13,KERALA,8237,8556,3.9
14,MADHYA PRADESH,11775,12457,5.8
15,MAHARASHTRA,17972,18916,5.3
16,MANIPUR,52,58,11.5
17,MEGHALAYA,189,198,4.8
18,MIZORAM,79,70,-11.4
19,NAGALAND,36,41,13.9
20,ODISHA,4592,4582,-0.2
21,PUNJAB,1714,2357,37.5
22,RAJASTHAN,4333,4531,4.6
23,SIKKIM,199,220,10.6
24,TAMIL NADU,13896,13493,-2.9
25,TELANGANA,7845,7675,-2.2
26,TRIPURA,720,728,1.1
27,UTTAR PRADESH,4849,5464,12.7
28,UTTARAKHAND,421,516,22.6
29,WEST BENGAL,13255,12665,-4.5
,TOTAL (STATES),131027,135651,3.5
,UNION TERRITORIES,,,
30,A & N ISLANDS,164,181,10.4
31,CHANDIGARH,160,131,-18.1
32,D & N HAVELI,101,95,-5.9
33,DAMAN & DIU,35,46,31.4
34,DELHI (UT),2526,2526,0.0
35,LAKSHADWEEP,3,0,-100.0
36,PUDUCHERRY,500,493,-1.4
,TOTAL (UTS),3489,3472,-0.5
,TOTAL (ALL INDIA),134516,139123,3.4
