Sl. No.,State/UT,Road Accidents,Road Accidents,Road Accidents,Railway Accidents,Railway Accidents,Railway Accidents,Railway Crossing Accidents,Railway Crossing Accidents,Railway Crossing Accidents,Total Traffic Accidents,Total Traffic Accidents,Total Traffic Accidents
,,Cases,Injured,Died,Cases,Injured,Died,Cases,Injured,Died,Cases,Injured,Died
,STATES,,,,,,,,,,,,
1,ANDHRA PRADESH,20677,24619,7984,1511,1,1519,0,0,0,22188,24620,9503
2,ARUNACHAL PRADESH,200,275,109,0,0,0,0,0,0,200,275,109
3,ASSAM,8055,7081,3245,591,0,593,5,0,5,8651,7081,3843
4,BIHAR,10007,7206,7205,1589,0,1622,241,2,242,11837,7208,9069
5,CHHATTISGARH,13899,13089,5003,466,0,466,1,0,1,14366,13089,5470
6,GOA,3440,1460,299,50,0,50,0,0,0,3490,1460,349
7,GUJARAT,16503,15976,7428,994,0,1012,0,0,0,17497,15976,8440
8,HARYANA,10937,9247,5269,1362,126,1278,104,23,84,12403,9396,6631
9,HIMACHAL PRADESH,2896,4740,1124,0,0,0,0,0,0,2896,4740,1124
10,JAMMU & KASHMIR,5795,7517,1009,44,0,45,0,0,0,5839,7517,1054
11,JHARKHAND,5217,3818,3801,483,1,486,2,0,2,5702,3819,4289
12,KARNATAKA,40644,50442,10951,0,0,0,22,5,15,40666,50447,10966
13,KERALA,39944,44467,4370,250,1,254,160,0,158,40354,44468,4782
14,MADHYA PRADESH,51641,53765,11856,1508,99,1409,230,6,232,53379,53870,13497
15,MAHARASHTRA,27286,23289,14608,6338,2435,3916,0,0,0,33624,25724,18524
16,MANIPUR,672,1055,156,0,0,0,0,0,0,672,1055,156
17,MEGHALAYA,236,287,176,0,0,0,0,0,0,236,287,176
18,MIZORAM,57,25,63,0,0,0,0,0,0,57,25,63
19,NAGALAND,26,59,22,0,0,0,8,0,8,34,59,30
20,ODISHA,11064,11177,5333,444,0,446,0,0,0,11508,11177,5779
21,PUNJAB,6316,3726,4613,893,65,831,0,0,0,7209,3791,5444
22,RAJASTHAN,23478,22979,10563,803,30,775,0,0,0,24281,23009,11338
23,SIKKIM,172,329,84,0,0,0,0,0,0,172,329,84
24,TAMIL NADU,57228,67137,10525,2266,203,2081,5,0,5,59499,67340,12611
25,TELANGANA,21570,21999,6964,626,0,631,0,0,0,22196,21999,7595
26,TRIPURA,655,816,239,5,0,5,27,0,27,687,816,271
27,UTTAR PRADESH,37537,22251,23285,3980,502,3521,851,123,855,42368,22876,27661
28,UTTARAKHAND,1352,1457,867,41,0,42,8,0,10,1401,1457,919
29,WEST BENGAL,12233,11744,5724,2876,44,2832,113,6,107,15222,11794,8663
,TOTAL (STATES),429737,432032,152875,27120,3507,23814,1777,165,1751,458634,435704,178440
,UNION TERRITORIES,,,,,,,,,,,,
30,A & NISLANDS,230,207,20,0,0,0,0,0,0,230,207,20
31,CHANDIGARH,304,275,104,0,0,0,0,0,0,304,275,104
32,D & N HAVELI,68,105,49,0,0,0,0,0,0,68,105,49
33,DAMAN & DIU,63,74,29,0,0,0,0,0,0,63,74,29
34,DELHI (UT),5601,4949,1508,858,62,796,11,0,11,6470,5011,2315
35,LAKSHADWEEP,1,1,0,0,0,0,0,0,0,1,1,0
36,PUDUCHERRY,1392,1619,147,9,0,9,0,0,0,1401,1619,156
,TOTAL (UTs),7659,7230,1857,867,62,805,11,0,11,8537,7292,2673
,TOTAL (ALL INDIA),437396,439262,154732,27987,3569,24619,1788,165,1762,467171,442996,181113
